KODEPT,PT,KEBIJAKAN_UNGGAH,KEBIJAKAN_VERIFIED,KEBIJAKAN_VALID,STANDAR_INSTITUSI_UNGGAH,STANDAR_INSTITUSI_VERIFIED,STANDAR_INSTITUSI_VALID,JML_STDLAIN_VALID,AMI_UNGGAH,AMI_VERIFIED,AMI_VALID,EVALUASI_LAIN_UNGGAH,EVALUASI_LAIN_VERIFIED,EVALUASI_LAIN_VALID,JML_EVAL_LAIN_VALID,PENGENDALIAN_UNGGAH,PENGENDALIAN_VERIFIED,PENGENDALIAN_VALID,PENINGKATAN_UNGGAH,PENINGKATAN_VERIFIED,PENINGKATAN_VALID,BOBOT VALID (%),BOBOT VERIFIKASI (%),BOBOT UNGGAH (%),Klaster
41116,Universitas Matana,6,0,0,10,0,0,7,3,0,0,3,0,0,0,5,0,0,6,0,0,0%,0%,86%,Merah
41032,Universitas Mathla ul Anwar,6,6,6,10,10,10,3,3,3,3,3,3,3,0,1,1,1,5,5,5,71%,71%,71%,Kuning
41125,Universitas Mayasari Bakti,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,46%,Merah
41101,Universitas Muhammadiyah A.R. Fachruddin,6,0,0,10,10,10,6,3,3,3,0,0,0,0,1,1,1,6,2,2,46%,46%,74%,Merah
41080,Universitas Muhammadiyah Banten,6,2,2,5,5,5,2,3,0,0,0,0,0,0,0,0,0,6,0,0,20%,20%,57%,Merah
41113,Universitas Muhammadiyah Bogor Raya,6,6,6,9,7,0,5,3,3,0,1,1,1,0,1,1,0,6,6,0,17%,66%,71%,Merah
41020,Universitas Nusa Bangsa,6,5,5,8,6,6,0,3,3,3,4,1,1,0,3,3,3,6,0,0,49%,49%,74%,Merah
41039,Universitas Pramita Indonesia,6,1,1,10,6,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,20%,20%,49%,Merah
41079,Universitas Primagraha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,Merah
41124,Universitas Satu,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,17%,Merah
41097,Universitas Sebelas April,6,5,5,3,3,3,1,3,0,0,0,0,0,0,9,0,0,1,0,0,23%,23%,63%,Merah
41126,Universitas Sehati Indonesia,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,26%,Merah
41121,Universitas Setia Budhi Rangkasbitung,6,6,6,10,8,8,7,3,2,2,2,0,0,0,3,1,0,6,6,6,63%,66%,80%,Kuning
41042,Universitas Subang,6,0,0,10,4,4,22,3,0,0,4,0,0,0,4,4,4,6,6,6,40%,40%,83%,Merah
41056,Universitas Surya,6,2,0,9,0,0,0,3,3,0,0,0,0,0,1,1,0,6,6,0,0%,34%,71%,Merah
41030,Universitas Suryakancana,6,4,2,10,6,6,10,3,2,2,2,2,1,13,4,0,0,6,4,2,34%,46%,83%,Merah
41085,Universitas Tangerang Raya,6,6,6,10,4,4,11,3,0,0,0,0,0,0,1,1,0,6,0,0,29%,31%,74%,Merah
41130,Universitas Yarsi Pratama,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,17%,Merah
43394,Sekolah Tinggi Teknologi Sinar Husni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,Merah
43395,Sekolah TInggi Ilmu Kesehatan Sismadi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,Merah
43396,Sekolah Tinggi Teknologi Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,Merah
48892,Politeknik Insan Tazzaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,Merah
48898,Universitas Sindang Kasih Majalengka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,Merah
41135,Universitas Salakanagara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,Merah
