KODEPT,PT,KEBIJAKAN_UNGGAH,KEBIJAKAN_VERIFIED,KEBIJAKAN_VALID,STANDAR_INSTITUSI_UNGGAH,STANDAR_INSTITUSI_VERIFIED,STANDAR_INSTITUSI_VALID,JML_STDLAIN_VALID,AMI_UNGGAH,AMI_VERIFIED,AMI_VALID,EVALUASI_LAIN_UNGGAH,EVALUASI_LAIN_VERIFIED,EVALUASI_LAIN_VALID,JML_EVAL_LAIN_VALID,PENGENDALIAN_UNGGAH,PENGENDALIAN_VERIFIED,PENGENDALIAN_VALID,PENINGKATAN_UNGGAH,PENINGKATAN_VERIFIED,PENINGKATAN_VALID,BOBOT VALID (%),BOBOT VERIFIKASI (%),BOBOT UNGGAH (%),Klaster
45006,Politeknik Krakatau,6,3,2,8,0,0,0,3,3,3,1,0,0,0,8,0,0,6,0,0,14%,17%,89%,Merah
45069,Politeknik Mardira Indonesia,6,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0%,0%,46%,Merah
45060,Politeknik Maritim Eka Utama Subang,6,6,0,10,0,0,0,3,3,2,4,4,0,0,5,5,0,6,5,0,6%,54%,86%,Merah
45062,Politeknik Merdeka Belajar Indonesia,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,26%,Merah
45002,Politeknik Pajajaran Insan Cinta Bangsa Bandung,6,6,6,5,5,0,0,3,2,1,1,1,1,0,4,4,0,6,0,0,20%,49%,69%,Merah
45023,Politeknik Perdana Mandiri,6,6,0,5,5,0,4,0,0,0,1,1,0,1,0,0,0,0,0,0,0%,31%,31%,Merah
45028,Politeknik PGRI Banten,6,3,3,6,6,6,1,1,0,0,1,0,0,0,0,0,0,1,1,0,26%,29%,40%,Merah
45018,Politeknik Praktisi Bandung,6,6,4,10,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29%,46%,46%,Merah
45071,Politeknik Prasetiya Mandiri,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,17%,Merah
45047,Politeknik Sains Seni Rekakreasi,6,5,5,10,10,0,3,0,0,0,1,1,1,1,0,0,0,0,0,0,14%,43%,46%,Merah
45067,Politeknik Siber Cerdika Internasional,6,0,0,10,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,54%,Merah
45020,Politeknik Sukabumi,6,6,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,17%,17%,43%,Merah
45058,Politeknik Takumi,6,5,5,10,10,10,3,3,3,3,4,0,0,1,6,6,6,6,3,3,77%,77%,89%,Kuning
45068,Politeknik Yusuf Mansur,6,1,1,10,0,0,0,3,0,0,1,0,0,0,1,0,0,6,0,0,3%,3%,74%,Merah
45063,Politeknik Zanjabila Banten,6,6,0,7,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0%,37%,37%,Merah
45029,Politenik Kesehatan Yapkesbi Sukabumi,6,6,6,6,4,0,14,3,3,2,3,0,0,0,2,2,0,6,6,0,23%,60%,66%,Merah
43317,Sekolah Tinggi Analis Bakti Asih,6,2,2,10,2,2,1,3,3,3,0,0,0,0,0,0,0,0,0,0,20%,20%,54%,Merah
43259,Sekolah Tinggi Analis Kimia Cilegon,6,6,1,6,6,6,1,3,3,3,3,1,1,0,6,6,6,6,6,1,49%,77%,77%,Merah
43272,Sekolah Tinggi Bahasa Asing Bina Dinamika Cianjur,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,17%,Merah
43246,Sekolah Tinggi Bahasa Asing Cipto Hadi Pranoto,6,6,6,9,8,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,31%,40%,43%,Merah
43312,Sekolah Tinggi Bahasa Asing IEC Bekasi,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31%,0%,0%,Merah
43355,Sekolah Tinggi Farmasi Muhammadiyah Cirebon,6,0,0,6,6,6,1,3,0,0,4,0,0,0,9,0,0,6,0,0,17%,17%,86%,Merah
43001,Sekolah Tinggi Hukum Bandung,6,6,6,10,10,10,0,3,1,1,4,0,0,0,8,0,0,6,0,0,49%,49%,94%,Merah
43002,Sekolah Tinggi Hukum Galunggung,6,1,1,10,0,0,2,3,0,0,4,0,0,0,10,0,0,6,0,0,3%,3%,100%,Merah
43029,Sekolah Tinggi Hukum Garut,6,6,6,3,3,3,0,3,3,1,0,0,0,0,0,0,0,0,0,0,29%,34%,34%,Merah
43042,Sekolah Tinggi Ilmu Administrasi Bagasasi,0,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46%,0%,0%,Merah
43215,Sekolah Tinggi Ilmu Administrasi Banten,6,0,0,10,0,0,3,3,0,0,4,0,0,0,10,0,0,6,0,0,0%,0%,100%,Merah
43255,Sekolah Tinggi Ilmu Administrasi Cimahi,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,17%,Merah
43010,Sekolah Tinggi Ilmu Administrasi Maulana Yusuf Banten,6,6,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3%,26%,26%,Merah
43033,Sekolah Tinggi Ilmu Administrasi Menara Siswa,6,6,6,10,10,6,0,3,3,0,4,0,0,0,1,1,0,6,6,0,34%,74%,74%,Merah
43214,Sekolah Tinggi Ilmu Administrasi Sandikta,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,14%,17%,20%,Merah
43014,Sekolah Tinggi Ilmu Administrasi YPPT Tasikmalaya,6,6,6,10,10,10,29,3,3,3,0,0,0,0,3,3,0,6,0,0,54%,63%,80%,Kuning
43391,Sekolah Tinggi Ilmu Ekonomi Arlindo,6,6,4,10,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20%,46%,46%,Merah
43236,Sekolah Tinggi Ilmu Ekonomi Budi Pertiwi,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6%,6%,17%,Merah
43094,Sekolah Tinggi Ilmu Ekonomi Cirebon,6,6,6,8,6,6,5,3,2,0,3,0,0,0,1,1,0,6,4,4,46%,54%,69%,Merah
43171,Sekolah Tinggi Ilmu Ekonomi Dewantara,6,0,0,7,7,0,0,3,0,0,1,1,1,0,1,0,0,1,1,0,0%,23%,51%,Merah
43384,Sekolah Tinggi Ilmu Ekonomi Dharma Agung Indonesia,6,2,2,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6%,6%,37%,Merah
43316,Sekolah Tinggi Ilmu Ekonomi Dwimulya,6,1,1,10,10,6,3,3,3,3,1,1,1,0,1,1,1,6,6,6,49%,60%,74%,Merah
43127,Sekolah Tinggi Ilmu Ekonomi Fajar,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,17%,Merah
43273,Sekolah Tinggi Ilmu Ekonomi Gici,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,Merah
43310,Sekolah Tinggi Ilmu Ekonomi Hidayatullah Depok,6,3,3,10,4,4,1,3,0,0,2,0,0,0,3,0,0,6,0,0,20%,20%,80%,Merah
43176,Sekolah Tinggi Ilmu Ekonomi Kalpataru,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,34%,Merah
43170,Sekolah Tinggi Ilmu Ekonomi Latifah Mubarokiyah,6,6,6,10,7,7,3,3,3,3,4,4,4,1,10,10,10,6,6,6,91%,91%,100%,Hijau
43379,Sekolah Tinggi Ilmu Ekonomi Manajemen Bisnis Indonesia,6,5,5,9,9,9,0,2,2,2,0,0,0,0,1,0,0,0,0,0,46%,46%,51%,Merah
43195,Sekolah Tinggi Ilmu Ekonomi Paripurna,6,6,4,10,10,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29%,46%,46%,Merah
43056,Sekolah Tinggi Ilmu Ekonomi Pariwisata YAPARI,6,0,0,8,8,0,0,3,0,0,1,0,0,0,9,1,0,6,0,0,0%,26%,91%,Merah
43153,Sekolah Tinggi Ilmu Ekonomi Stan Im,0,0,1,0,0,0,7,0,0,0,0,0,0,2,0,0,4,0,0,4,26%,0%,0%,Merah
43119,Sekolah Tinggi Ilmu Ekonomi Sutaatmadja,6,6,6,9,9,9,2,3,0,0,0,0,0,0,9,0,0,1,0,0,43%,43%,80%,Merah
43172,Sekolah Tinggi Ilmu Ekonomi Wibawa Karta Raharja,6,6,3,6,6,5,0,3,3,2,4,4,0,0,1,1,0,6,6,1,31%,63%,63%,Merah
43393,Sekolah Tinggi Ilmu Ekonomi Yayasan Pengembangan Bisnis Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,Merah
43093,Sekolah Tinggi Ilmu Ekonomi YP-Karya,6,6,2,10,9,0,0,3,0,0,4,0,0,0,1,0,0,6,0,0,6%,43%,74%,Merah
43364,Sekolah Tinggi Ilmu Hukum dan Politik Pelopor Bangsa,6,6,6,7,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37%,37%,37%,Merah
43106,Sekolah Tinggi Ilmu Hukum Gunung Jati,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17%,17%,17%,Merah
43329,Sekolah Tinggi Ilmu Hukum Painan,6,4,4,10,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,11%,11%,77%,Merah
43387,Sekolah Tinggi Ilmu Kesehatan Aksari,6,6,0,10,10,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0%,46%,54%,Merah
43188,Sekolah Tinggi Ilmu Kesehatan Bina Putera Banjar,6,6,5,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43%,46%,46%,Merah
43332,Sekolah Tinggi Ilmu Kesehatan Holistik,6,1,1,10,10,10,2,3,0,0,3,1,1,0,3,3,3,6,2,2,46%,46%,80%,Merah
43366,Sekolah Tinggi Ilmu Kesehatan Khas Kempek,6,6,6,9,9,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,43%,43%,43%,Merah
43388,Sekolah Tinggi Ilmu Kesehatan Yayasan Lembaga Pendidikan Prada,6,5,5,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43%,43%,46%,Merah
43383,Sekolah Tinggi Ilmu Kesehatan YPSDMI,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,17%,Merah
43177,Sekolah Tinggi Ilmu Komputer Poltek Cirebon,6,0,0,6,6,6,0,3,3,3,3,3,3,0,10,1,0,6,0,0,26%,29%,89%,Merah
43045,Sekolah Tinggi Ilmu Komunikasi Bandung,0,0,3,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,17%,0%,0%,Merah
43258,Sekolah Tinggi Ilmu Komunikasi Wangsa Jaya,6,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0%,0%,26%,Merah
43241,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Bekasi,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,17%,Merah
43182,Sekolah Tinggi Ilmu Teknik Bina Putra,6,0,0,3,0,0,0,3,0,0,4,0,0,0,0,0,0,6,0,0,0%,0%,51%,Merah
43346,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Al-Amin Indramayu,6,2,2,10,7,7,3,3,1,1,4,4,2,0,0,0,0,0,0,0,29%,29%,54%,Merah
43034,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Pasundan,6,3,3,6,3,3,5,1,1,1,3,1,1,0,0,0,0,0,0,0,20%,20%,37%,Merah
43186,Sekolah Tinggi Kesehatan Indonesia Wirautama,6,0,0,10,0,0,1,3,0,0,4,0,0,21,7,0,0,6,6,6,17%,17%,91%,Merah
